destination,country,latitude,longitude,geocoding_name,main_weather
Sipalay,Philippines,9.7519,122.4042,Sipalay Philippines,Cloudy
Surigao City,Philippines,9.75,125.5,Surigao City Philippines,Cloudy
Tabaco,Philippines,13.3586,123.7336,Tabaco Philippines,Cloudy
Tabuk,Philippines,17.4189,121.4443,Tabuk Philippines,Cloudy
Tacloban City,Philippines,11.25,125.0,Tacloban City Philippines,Cloudy
Tacurong,Philippines,6.6925,124.6764,Tacurong Philippines,Cloudy
Tagaytay City,Philippines,14.1059,120.9337,Tagaytay City Philippines,Cloudy
Taguig,Philippines,14.5243,121.0792,Taguig Philippines,Cloudy
Talisay,Philippines,14.1343,122.9226,Talisay Philippines,Cloudy
Tanauan,Philippines,14.0863,121.1498,Tanauan Philippines,Cloudy
Tandag,Philippines,9.0783,126.1986,Tandag Philippines,Cloudy
Tangub,Philippines,10.6339,122.9306,Tangub Philippines,Cloudy
Tanjay,Philippines,9.5153,123.1583,Tanjay Philippines,Cloudy
Tarlac City,Philippines,15.4889,120.5986,Tarlac City Philippines,Cloudy
Tayabas,Philippines,14.0289,121.5911,Tayabas Philippines,Cloudy
Toledo City,Philippines,10.3833,123.6333,Toledo City Philippines,Cloudy
Tuguegarao,Philippines,17.6131,121.7269,Tuguegarao Philippines,Cloudy
Urdaneta,Philippines,15.9761,120.5711,Urdaneta Philippines,Cloudy
Valencia,Philippines,11.1089,124.5725,Valencia Philippines,Cloudy
Valenzuela,Philippines,14.7,120.9667,Valenzuela Philippines,Cloudy
Victorias,Philippines,10.9,123.0778,Victorias Philippines,Cloudy
Vigan,Philippines,17.5747,120.3869,Vigan Philippines,Cloudy
Zamboanga City,Philippines,6.9135,122.0696,Zamboanga City Philippines,Cloudy
