"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-05-01 00:06:57+08:00",124.8469,6.5031,25.03,26.02,25.03,25.03,1010.0,93.0,1010.0,976.0,0.54,56.0,0.62,100.0,"2024-05-01 05:27:06+08:00","2024-05-01 17:48:08+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:58.602262+08:00","Koronadal","","",""
10000.0,"2024-05-01 00:08:00+08:00",122.9208,10.4233,28.51,32.18,28.51,28.51,1008.0,73.0,1008.0,1002.0,2.54,130.0,3.63,93.0,"2024-05-01 05:30:26+08:00","2024-05-01 18:00:12+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:08:00.047221+08:00","La Carlota","","",""
10000.0,"2024-05-01 00:08:01+08:00",125.7022,6.0872,25.23,26.11,25.23,25.23,1010.0,88.0,1010.0,991.0,0.54,91.0,1.51,100.0,"2024-05-01 05:24:08+08:00","2024-05-01 17:44:15+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:08:01.796047+08:00","Lamitan","","",""
10000.0,"2024-05-01 00:08:03+08:00",120.5936,18.1989,28.88,32.83,28.88,28.88,1008.0,72.0,1008.0,1003.0,2.2,26.0,2.43,0.0,"2024-05-01 05:30:37+08:00","2024-05-01 18:18:38+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:08:03.885862+08:00","Laoag","","",""
10000.0,"2024-05-01 00:06:01+08:00",123.9494,10.3103,29.02,34.58,29.02,29.02,1010.0,79.0,"","",1.54,120.0,"",75.0,"2024-05-01 05:26:27+08:00","2024-05-01 17:55:58+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:08:05.145430+08:00","Lapu-Lapu City",1.0,8187.0,""
10000.0,"2024-05-01 00:06:02+08:00",120.9828,14.4506,29.56,36.34,29.39,30.03,1009.0,80.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:33+08:00","2024-05-01 18:12:35+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:08:07.355422+08:00","Las Piñas",2.0,2005706.0,""
10000.0,"2024-05-01 00:08:08+08:00",123.7333,13.1333,25.5,26.48,25.5,25.5,1010.0,91.0,1010.0,992.0,2.01,65.0,5.14,42.0,"2024-05-01 05:24:05+08:00","2024-05-01 18:00:03+08:00",802.0,"Clouds","scattered clouds","03n","2024-05-01 00:08:09.006578+08:00","Legazpi City","","",""
10000.0,"2024-05-01 00:08:10+08:00",123.5325,13.2403,24.89,25.86,24.89,24.89,1010.0,93.0,1010.0,991.0,1.68,86.0,3.66,27.0,"2024-05-01 05:24:46+08:00","2024-05-01 18:00:59+08:00",802.0,"Clouds","scattered clouds","03n","2024-05-01 00:08:10.912743+08:00","Ligao","","",""
10000.0,"2024-05-01 00:05:39+08:00",121.1667,13.95,22.66,23.51,22.66,22.66,1010.0,97.0,1010.0,984.0,0.66,80.0,0.66,78.0,"2024-05-01 05:33:24+08:00","2024-05-01 18:11:16+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:08:12.730696+08:00","Lipa City","","",""
10000.0,"2024-05-01 00:08:14+08:00",122.5967,10.8794,27.8,30.92,27.8,27.8,1009.0,75.0,1009.0,1006.0,3.37,355.0,5.52,100.0,"2024-05-01 05:31:13+08:00","2024-05-01 18:02:01+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:08:14.704996+08:00","Lucena","","",""
10000.0,"2024-05-01 00:08:15+08:00",122.4347,10.8925,26.23,26.23,26.23,26.23,1009.0,80.0,1009.0,983.0,3.1,359.0,5.71,100.0,"2024-05-01 05:31:51+08:00","2024-05-01 18:02:41+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:08:15.951995+08:00","Maasin","","",""
10000.0,"2024-05-01 00:03:49+08:00",120.5736,15.2216,30.21,36.61,26.66,30.21,1010.0,74.0,"","",3.09,200.0,"",20.0,"2024-05-01 05:34:17+08:00","2024-05-01 18:15:08+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:08:17.949213+08:00","Mabalacat City",1.0,8152.0,""
10000.0,"2024-05-01 00:08:19+08:00",121.0327,14.5503,29.68,35.93,29.33,29.97,1009.0,77.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:14+08:00","2024-05-01 18:12:30+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:08:19.514591+08:00","Makati City",1.0,8160.0,""
10000.0,"2024-05-01 00:08:21+08:00",119.9379,15.6361,27.49,30.5,27.49,27.49,1009.0,77.0,1009.0,985.0,0.71,134.0,0.91,16.0,"2024-05-01 05:36:20+08:00","2024-05-01 18:18:10+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:08:21.627238+08:00","Malabon","","",""
10000.0,"2024-05-01 00:08:24+08:00",125.0833,8.15,20.6,21.27,20.6,20.6,1012.0,98.0,1012.0,905.0,0.23,135.0,1.81,100.0,"2024-05-01 05:24:20+08:00","2024-05-01 17:49:01+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:08:24.178938+08:00","Malaybalay","","",""
